Date,1 Months T-Bills
01/01/2021,0.05%
12/31/2020,0.05%
12/30/2020,0.06%
12/29/2020,0.09%
12/28/2020,0.09%
12/24/2020,0.09%
12/23/2020,0.08%
12/22/2020,0.08%
12/21/2020,0.08%
12/18/2020,0.08%
12/17/2020,0.08%
12/16/2020,0.08%
12/15/2020,0.07%
12/14/2020,0.07%
12/11/2020,0.07%
12/10/2020,0.07%
12/09/2020,0.07%
12/08/2020,0.07%
12/07/2020,0.08%
12/04/2020,0.08%
12/03/2020,0.07%
12/02/2020,0.08%
12/01/2020,0.08%
11/30/2020,0.08%
11/27/2020,0.09%
11/25/2020,0.08%
11/24/2020,0.08%
11/23/2020,0.08%
11/20/2020,0.08%
11/19/2020,0.06%
11/18/2020,0.07%
11/17/2020,0.08%
11/16/2020,0.09%
11/13/2020,0.09%
11/12/2020,0.08%
11/10/2020,0.09%
11/09/2020,0.09%
11/06/2020,0.09%
11/05/2020,0.08%
11/04/2020,0.09%
11/03/2020,0.09%
11/02/2020,0.09%
10/30/2020,0.08%
10/29/2020,0.09%
10/28/2020,0.07%
10/27/2020,0.08%
10/26/2020,0.08%
10/23/2020,0.07%
10/22/2020,0.08%
10/21/2020,0.07%
10/20/2020,0.09%
10/19/2020,0.09%
10/16/2020,0.09%
10/15/2020,0.09%
10/14/2020,0.10%
10/13/2020,0.10%
10/11/2020,0.10%
10/09/2020,0.10%
10/08/2020,0.09%
10/07/2020,0.08%
10/06/2020,0.08%
10/05/2020,0.10%
10/02/2020,0.09%
10/01/2020,0.09%
09/30/2020,0.08%
09/29/2020,0.07%
09/28/2020,0.08%
09/25/2020,0.08%
09/24/2020,0.08%
09/23/2020,0.07%
09/22/2020,0.08%
09/21/2020,0.09%
09/18/2020,0.09%
09/17/2020,0.08%
09/16/2020,0.08%
09/15/2020,0.10%
09/14/2020,0.10%
09/11/2020,0.10%
09/10/2020,0.09%
09/09/2020,0.09%
09/08/2020,0.09%
09/06/2020,0.09%
09/04/2020,0.09%
09/03/2020,0.09%
09/02/2020,0.09%
09/01/2020,0.09%
08/31/2020,0.09%
08/28/2020,0.09%
08/27/2020,0.08%
08/26/2020,0.08%
08/25/2020,0.08%
08/24/2020,0.08%
08/21/2020,0.07%
08/20/2020,0.08%
08/19/2020,0.07%
08/18/2020,0.08%
08/17/2020,0.09%
08/14/2020,0.09%
08/13/2020,0.09%
08/12/2020,0.07%
08/11/2020,0.08%
08/10/2020,0.08%
08/07/2020,0.08%
08/06/2020,0.08%
08/05/2020,0.08%
08/04/2020,0.08%
08/03/2020,0.09%
07/31/2020,0.09%
07/30/2020,0.09%
07/29/2020,0.08%
07/28/2020,0.10%
07/27/2020,0.10%
07/24/2020,0.09%
07/23/2020,0.09%
07/22/2020,0.10%
07/21/2020,0.10%
07/20/2020,0.11%
07/17/2020,0.11%
07/16/2020,0.11%
07/15/2020,0.12%
07/14/2020,0.12%
07/13/2020,0.11%
07/10/2020,0.10%
07/09/2020,0.10%
07/08/2020,0.11%
07/07/2020,0.12%
07/06/2020,0.13%
07/02/2020,0.12%
07/01/2020,0.11%
06/30/2020,0.13%
06/29/2020,0.13%
06/26/2020,0.12%
06/25/2020,0.12%
06/24/2020,0.11%
06/23/2020,0.12%
06/22/2020,0.13%
06/19/2020,0.12%
06/18/2020,0.11%
06/17/2020,0.13%
06/16/2020,0.13%
06/15/2020,0.14%
06/12/2020,0.14%
06/11/2020,0.13%
06/10/2020,0.13%
06/09/2020,0.14%
06/08/2020,0.15%
06/05/2020,0.13%
06/04/2020,0.12%
06/03/2020,0.12%
06/02/2020,0.13%
06/01/2020,0.13%
05/29/2020,0.13%
05/28/2020,0.12%
05/27/2020,0.11%
05/26/2020,0.10%
05/24/2020,0.09%
05/22/2020,0.09%
05/21/2020,0.10%
05/20/2020,0.08%
05/19/2020,0.09%
05/18/2020,0.10%
05/15/2020,0.09%
05/14/2020,0.09%
05/13/2020,0.08%
05/12/2020,0.10%
05/11/2020,0.10%
05/08/2020,0.09%
05/07/2020,0.10%
05/06/2020,0.08%
05/05/2020,0.10%
05/04/2020,0.10%
05/01/2020,0.10%
04/30/2020,0.09%
04/29/2020,0.09%
04/28/2020,0.09%
04/27/2020,0.10%
04/24/2020,0.09%
04/23/2020,0.10%
04/22/2020,0.07%
04/21/2020,0.08%
04/20/2020,0.09%
04/17/2020,0.10%
04/16/2020,0.12%
04/15/2020,0.13%
04/14/2020,0.15%
04/13/2020,0.19%
04/09/2020,0.20%
04/08/2020,0.09%
04/07/2020,0.06%
04/06/2020,0.09%
04/03/2020,0.06%
04/02/2020,0.08%
04/01/2020,0.04%
03/31/2020,0.04%
03/30/2020,0.04%
03/27/2020,0.02%
03/26/2020,0.04%
03/25/2020,0.06%
03/24/2020,0.01%
03/23/2020,0.02%
03/20/2020,0.03%
03/19/2020,0.02%
03/18/2020,0.02%
03/17/2020,0.09%
03/16/2020,0.23%
03/13/2020,0.32%
03/12/2020,0.30%
03/11/2020,0.43%
03/10/2020,0.59%
03/09/2020,0.59%
03/06/2020,0.77%
03/05/2020,0.88%
03/04/2020,1.00%
03/03/2020,1.10%
03/02/2020,1.46%
02/28/2020,1.47%
02/27/2020,1.54%
02/26/2020,1.58%
02/25/2020,1.57%
02/24/2020,1.57%
02/21/2020,1.60%
02/20/2020,1.59%
02/19/2020,1.60%
02/18/2020,1.61%
02/16/2020,1.59%
02/14/2020,1.59%
02/13/2020,1.59%
02/12/2020,1.57%
02/11/2020,1.58%
02/10/2020,1.57%
02/07/2020,1.57%
02/06/2020,1.55%
02/05/2020,1.55%
02/04/2020,1.55%
02/03/2020,1.56%
01/31/2020,1.56%
01/30/2020,1.57%
01/29/2020,1.52%
01/28/2020,1.53%
01/27/2020,1.53%
01/24/2020,1.53%
01/23/2020,1.54%
01/22/2020,1.52%
01/21/2020,1.52%
01/20/2020,1.53%
01/17/2020,1.53%
01/16/2020,1.51%
01/15/2020,1.53%
01/14/2020,1.53%
01/13/2020,1.53%
